subject,SCHOOL,PM,DM,DAY,GROUP,Spelling,token_test
40,0,0.43,0.64,1,0,13,42
41,0,0.61,0.57,1,1,8,31
42,1,0.73,0.69,1,0,10,42
43,1,0.82,0.71,1,1,2,40
44,1,0.7,0.63,1,0,14,34
45,1,0.6,0.58,1,0,10,42
46,1,0.69,0.69,1,1,6,39
47,1,0.62,0.74,1,1,7,36
48,1,0.58,0.78,1,0,14,35
49,1,0.5,,1,1,8,23
50,1,0.74,0.73,1,0,14,43
51,1,0.66,0.63,1,0,15,41
52,1,0.58,0.39,1,1,10,28
53,1,0.66,0.75,1,0,12,40
54,1,0.6,0.66,1,0,9,39
55,1,0.63,0.61,1,0,11,39
56,1,0.49,0.55,1,1,8,37
57,1,0.56,0.7,1,0,13,31
58,1,0.7,0.8,1,0,11,40
59,1,0.68,0.7,1,0,12,40
60,1,0.69,0.85,1,0,13,39
61,1,0.77,0.75,1,0,10,42
62,1,0.75,0.59,1,0,12,40
63,1,0.73,0.67,1,0,10,39
64,1,0.7,0.5,1,0,9,39
65,1,0.73,0.93,1,0,8,44
66,1,0.54,0.73,1,0,13,39
67,1,0.65,0.74,1,0,15,41
68,1,0.69,0.58,1,0,12,41
69,1,0.68,0.67,1,0,13,37
70,1,0.81,0.65,1,0,13,40
71,1,0.74,0.52,1,1,10,27
72,1,0.59,0.69,1,0,14,41
73,1,0.86,0.57,1,1,11,32
74,1,0.68,0.81,1,0,10,44
75,1,0.74,0.66,1,0,9,43
76,1,0.66,0.82,1,0,11,36
77,1,0.63,0.79,1,0,10,41
78,1,0.69,0.76,1,0,11,33
79,1,0.73,0.8,1,0,9,41
80,1,0.56,0.75,1,0,13,42
81,1,0.58,0.76,1,0,11,35
82,1,0.74,0.63,1,1,6,39
83,1,0.73,0.78,1,0,14,41
84,1,0.79,0.78,1,0,12,43
85,1,0.76,0.7,1,0,11,43
86,1,0.61,0.6,1,0,13,38
87,1,0.76,0.7,1,0,13,40
88,1,0.59,0.57,1,0,10,39
89,1,0.52,0.67,1,1,4,39
90,1,0.68,0.68,1,0,14,39
91,1,0.7,0.72,1,0,12,41
92,1,0.68,0.82,1,0,13,44
93,1,0.8,0.73,1,0,12,40
94,1,0.58,0.78,1,1,8,35
95,1,0.66,0.71,1,0,13,33
96,1,0.74,0.73,1,1,12,30
97,1,0.63,0.68,1,0,13,39
98,1,0.7,0.72,1,0,11,38
99,1,0.65,0.57,1,0,11,36
100,1,0.74,0.72,1,0,13,42
